ticker,earn_date,sig,entry_date,entry,first12,mcap_pit,tier,sector,industry,profitable,lumpy,val_ok,rev_yoy,pe,ps,ret6,xs6,ret12,xs12,ret24,xs24
IMMR,2024-05-08,S2b,2024-05-09,7.45,True,0.235,micro,Technology,Software - Application,True,False,True,5.198,6.4,3.5,0.1173,-0.0399,-0.0577,-0.1564,-0.1038,-0.5563
IMMR,2024-08-19,S2b,2024-08-20,9.2,False,0.294,micro,Technology,Software - Application,True,False,True,13.238,5.1,1.8,-0.1041,-0.2037,-0.2701,-0.4264,,
IMNM,2025-05-12,S2b,2025-05-13,7.91,True,0.688,small,Healthcare,Biotechnology,False,False,False,1.844,,74.5,1.0872,0.9355,1.8066,1.5271,,
INCY,2021-02-09,S2b,2021-02-10,85.17,True,18.694,large,Healthcare,Biotechnology,False,True,True,0.363,,7.0,-0.1356,-0.2779,-0.2145,-0.3817,-0.0694,-0.1466
INCY,2021-11-02,S2b,2021-11-03,66.79,False,14.753,large,Healthcare,Biotechnology,True,False,True,0.31,27.6,5.1,0.1556,0.2536,0.1514,0.3409,-0.1788,-0.1433
INCY,2022-08-02,S2b,2022-08-03,72.54,True,16.095,large,Healthcare,Biotechnology,True,False,True,0.291,30.3,5.1,0.1526,0.149,-0.1042,-0.2049,-0.1112,-0.4363
INDI,2022-05-13,S2b,2022-05-16,6.85,True,1.01,small,Technology,Semiconductors,False,True,False,1.711,,19.6,-0.0285,-0.0252,0.2482,0.2054,-0.1051,-0.4684
INDI,2022-08-12,S2b,2022-08-15,8.16,False,0.955,small,Technology,Semiconductors,False,True,True,1.806,,13.8,0.1949,0.2211,-0.1115,-0.1611,-0.5098,-0.8388
INDI,2023-08-11,S2b,2023-08-14,7.41,True,1.052,small,Technology,Semiconductors,False,False,True,1.023,,7.1,-0.0054,-0.1265,-0.4683,-0.6987,-0.3671,-0.8446
INFU,2022-11-08,S2a,2022-11-09,8.89,True,0.184,micro,Healthcare,Medical Devices,False,False,True,0.027,,1.7,-0.0101,-0.1177,-0.0326,-0.2105,-0.1215,-0.7675
INFU,2023-08-09,S2a,2023-08-10,11.25,False,0.237,micro,Healthcare,Medical Devices,True,True,False,0.174,607.2,2.0,-0.1467,-0.2792,-0.4667,-0.6787,-0.2356,-0.6996
INFU,2025-05-08,S1,2025-05-09,5.37,True,0.113,micro,Healthcare,Medical Devices,True,True,False,0.085,98.4,0.8,0.879,0.6645,0.5661,0.2441,,
INGN,2021-08-04,S1+S2a+S2b,2021-08-05,60.29,True,1.361,small,Healthcare,Medical Devices,False,False,True,0.376,,4.5,-0.5124,-0.5349,-0.5404,-0.4897,-0.8741,-0.9167
INGN,2021-11-04,S2a,2021-11-05,36.92,False,0.839,small,Healthcare,Medical Devices,True,False,False,0.212,73.4,2.7,-0.3475,-0.2366,-0.4396,-0.255,-0.857,-0.8158
INGR,2021-02-24,S1,2021-02-25,77.65,True,5.204,mid,Consumer Defensive,Packaged Foods,True,False,False,0.028,15.0,0.9,-0.016,-0.1978,0.0279,-0.1323,0.19,0.1224
INGR,2021-08-06,S2b,2021-08-09,74.75,False,5.01,mid,Consumer Defensive,Packaged Foods,True,True,True,0.306,36.0,0.8,0.0255,-0.0163,0.0951,0.1515,0.2451,0.2059
INGR,2024-05-09,S1,2024-05-10,113.16,True,7.382,mid,Consumer Defensive,Packaged Foods,True,False,True,-0.119,11.1,0.9,0.2609,0.1041,0.1691,0.0718,-0.0696,-0.5236
