tk,ret,pkr,mul,dd,pass,spy
DVN,1.064,2.396,-0.021,-0.608,False,0.9229778298067113
YUM,0.324,0.371,-0.197,-0.231,True,0.8038550464912124
ODFL,0.637,0.868,-0.146,-0.452,True,0.8038550464912124
IDXX,-0.208,0.13,-0.522,-0.54,True,0.817223650596163
COIN,-0.287,0.88,-0.368,-0.664,True,0.5145064309712304
DHI,1.162,1.659,-0.2,-0.444,True,1.1422940771179984
CMG,-0.031,0.897,-0.334,-0.589,True,0.8113170241498278
UAL,1.843,1.864,-0.344,-0.492,False,0.8299517463157762
BDX,-0.14,0.182,-0.292,-0.401,True,1.0769473707054105
AIG,0.442,0.61,-0.178,-0.264,True,0.6953580442761287
IBKR,4.711,4.929,-0.212,-0.387,True,0.9129008781490326
LYV,1.315,1.315,-0.178,-0.482,False,0.8063489460020139
HEI,1.069,1.069,-0.114,-0.271,True,0.9732199447206258
HEI-A,0.906,1.01,-0.116,-0.271,True,0.9732199447206258
ALNY,0.91,2.111,-0.237,-0.434,False,1.0529199299928114
TEVA,2.853,3.187,0.0,-0.437,False,0.7756737241680982
RBLX,0.523,2.72,-0.201,-0.708,False,0.7618260595991446
NTRA,2.05,2.05,-0.689,-0.777,False,0.8939588917373562
RVMD,8.542,8.803,-0.066,-0.486,False,1.0594430438197686
SYY,0.189,0.288,-0.167,-0.273,False,0.7620920510611309
PEG,0.405,0.565,-0.175,-0.227,False,0.9254520008448179
ARES,1.496,3.138,-0.049,-0.5,True,0.9077429187656374
RDDT,0.658,1.269,-0.272,-0.614,False,0.3104603454080639
WEC,0.42,0.452,-0.147,-0.26,True,0.9077429187656374
CCL,0.105,0.303,-0.755,-0.755,False,0.8509717905428467
ADM,0.395,0.593,-0.27,-0.541,True,0.9153754763333528
WAT,0.202,0.35,-0.248,-0.443,False,0.9077429187656374
A,-0.224,0.007,-0.428,-0.432,True,0.7637692252488415
ON,1.085,1.951,-0.296,-0.704,True,0.8210445108029081
TKO,0.756,0.936,-0.034,-0.211,False,0.4367501935981275
MLM,0.572,0.92,-0.215,-0.268,True,0.8951288530965131
HBAN,0.543,0.611,-0.314,-0.442,True,0.8008788571757468
STRC,0.03,0.153,-0.127,-0.243,False,0.8674576142529726
ACGL,1.541,1.816,-0.097,-0.224,True,0.9077429187656374
MSTR,1.847,13.446,-0.174,-0.826,False,0.8674576142529726
IRM,2.294,2.595,-0.039,-0.39,False,0.8038550464912124
IQV,-0.183,0.136,-0.449,-0.515,True,0.8158989576920381
CPNG,-0.053,0.752,-0.325,-0.549,False,0.9825319139118855
WDAY,-0.516,0.141,-0.582,-0.634,False,0.7856647822457816
QSR,0.272,0.44,-0.279,-0.279,True,0.817223650596163
STLD,3.429,4.635,-0.02,-0.322,True,0.9032471620661233
CCI,-0.499,0.09,-0.515,-0.555,False,0.8008788571757468
UI,0.631,2.293,-0.687,-0.722,True,1.0688051793726707
MRNA,0.548,0.548,-0.523,-0.53,False,0.27613730961175653
RJF,0.858,1.045,-0.064,-0.321,True,0.8023451580849241
EQT,1.716,2.505,-0.217,-0.426,False,0.9077429187656374
EXR,0.221,0.559,-0.242,-0.514,True,0.9117117228618064
EXPE,0.8,1.041,-0.438,-0.609,False,0.8008788571757468
TWLO,-0.319,0.334,-0.861,-0.896,False,0.9077429187656374
RMD,-0.115,0.283,-0.423,-0.429,True,0.8655719917659352
ONC,-0.068,0.292,-0.612,-0.7,False,0.9077429187656374
ZTS,-0.623,0.225,-0.626,-0.695,True,0.8038550464912124
IR,0.681,1.187,-0.175,-0.366,False,0.817223650596163
ASTS,10.557,16.864,-0.73,-0.856,False,0.9722910543231689
AEE,0.553,0.638,-0.129,-0.234,True,1.079143048901234
VEEV,-0.368,0.17,-0.482,-0.557,True,0.8918076158487358
LVS,0.08,0.605,-0.335,-0.512,False,0.8113170241498278
CRS,15.699,15.882,-0.333,-0.36,False,0.8444963687421909
CFG,1.079,1.079,-0.409,-0.562,True,0.8063489460020139
TDY,0.455,0.515,-0.271,-0.322,True,0.8210445108029081
MTZ,2.51,2.932,-0.572,-0.61,True,0.9077429187656374
CQP,1.149,1.454,-0.02,-0.291,True,0.8038550464912124
CASY,3.128,3.822,-0.117,-0.171,True,0.7672503854394792
NRG,3.639,5.045,-0.075,-0.342,True,0.9077429187656374
ILMN,-0.527,0.312,-0.819,-0.862,False,0.9153754763333528
TPR,3.028,3.477,-0.334,-0.419,True,0.8116467177284066
ATO,0.907,1.108,-0.15,-0.191,True,0.9229778298067113
DOV,0.408,0.505,-0.278,-0.356,True,0.8486307417784629
EIX,0.267,0.401,-0.214,-0.439,False,0.8951288530965131
MDB,0.143,0.86,-0.563,-0.765,False,0.8918076158487358
AFRM,0.872,1.058,-0.801,-0.815,False,0.8029820295419239
DXCM,-0.466,0.263,-0.574,-0.663,True,0.8083985885793605
TPL,1.676,2.688,-0.322,-0.525,True,0.8038550464912124
